trial,condition,eccentricity,magnitude,correct,srt_ms,keyboard_rt_ms,pre_change_ms,valid
40,quadbright,20.0,25,1,421.08798027038574,421.0858345031738,1065,1
41,quadbright,21.0,25,1,531.580924987793,531.5780639648438,1091,1
42,quadbright,22.0,25,1,527.8189182281494,527.8141498565674,1147,1
43,quadbright,23.0,25,1,526.5328884124756,526.5271663665771,1178,1
44,quadbright,24.0,25,1,531.6159725189209,531.6119194030762,1378,1
45,quadbright,25.0,25,1,526.2060165405273,526.202917098999,967,1
46,quadbright,26.0,25,1,533.332109451294,533.3249568939209,1115,1
47,quadbright,27.0,28,1,1054.7730922698975,1054.7678470611572,825,1
48,quadbright,28.0,25,1,529.879093170166,529.8769474029541,1331,1
49,quadbright,5.0,22,1,68.10331344604492,532.2232246398926,1079,1
50,quadbright,6.0,22,1,66.15829467773438,459.7020149230957,1324,1
51,quadbright,7.0,22,1,165.61102867126465,462.1000289916992,816,1
52,quadbright,8.0,22,1,525.9628295898438,525.9590148925781,947,0
53,quadbright,8.0,22,1,525.7871150970459,525.7852077484131,1039,1
54,quadbright,9.0,22,1,531.9743156433105,531.9712162017822,1190,1
55,quadbright,10.0,22,1,527.2130966186523,527.2109508514404,1491,1
56,quadbright,11.0,22,1,525.6409645080566,525.6383419036865,1217,1
57,quadbright,12.0,22,1,526.3798236846924,526.3769626617432,1457,1
58,quadbright,13.0,22,1,527.3511409759521,527.3489952087402,1200,1
59,quadbright,14.0,22,1,526.7431735992432,526.7410278320312,1363,1
60,quadbright,15.0,22,1,534.0280532836914,534.0237617492676,1190,1
61,quadbright,16.0,22,1,362.1642589569092,362.16020584106445,1217,1
62,quadbright,17.0,22,1,536.2288951873779,536.2260341644287,804,1
63,quadbright,18.0,22,1,527.3048877716064,527.2998809814453,1090,1
64,quadbright,19.0,22,1,461.35807037353516,461.35401725769043,1192,1
65,quadbright,20.0,22,1,529.4249057769775,529.4208526611328,1479,1
66,quadbright,21.0,22,1,526.9088745117188,526.9057750701904,891,1
67,quadbright,22.0,22,1,527.2209644317627,527.2190570831299,1191,1
68,quadbright,23.0,22,1,1054.5589923858643,1054.5527935028076,1112,1
